run_id,arch,recipe_actual,variant,condition_id,stage,transform,descriptor,n_images,n_images_with_exceedance,mean_n_shared_exc,mean_n_shared_nonexc,acc_exc,acc_exc_ci_lo,acc_exc_ci_hi,acc_nonexc,acc_nonexc_ci_lo,acc_nonexc_ci_hi,delta_exc_minus_nonexc,delta_ci_lo,delta_ci_hi,chance_exact,endpoint_class
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T3,l2,2000,0,0,168,MISSING,MISSING,MISSING,0.897514881,0.8945595238,0.900384003,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T3,centred_l2,2000,0,0,168,MISSING,MISSING,MISSING,0.8975952381,0.8946517113,0.900422619,MISSING,MISSING,MISSING,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T0,l2,2000,2000,18.479,177.521,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T0,centred_l2,2000,2000,18.479,177.521,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T0,l2,2000,2000,16.832,179.168,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T0,centred_l2,2000,2000,16.832,179.168,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T0,l2,2000,19,0.016,195.984,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T0,centred_l2,2000,19,0.016,195.984,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T1,l2,2000,2000,18.479,177.521,0.5023792589,0.4955828702,0.5093777254,0.9389844689,0.9372500532,0.9406781346,-0.43660521,-0.4432891126,-0.4298630154,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T1,centred_l2,2000,2000,18.479,177.521,0.5046133495,0.497805867,0.5116651963,0.9391082899,0.9373828765,0.9407957749,-0.4344949404,-0.4411445916,-0.4276355313,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T1,l2,2000,2000,16.832,179.168,0.4870937124,0.4799286511,0.4944090326,0.9331298088,0.9313492809,0.9348825175,-0.4460360964,-0.4529548052,-0.438861262,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T1,centred_l2,2000,2000,16.832,179.168,0.4743112669,0.4671463555,0.4816285217,0.9327556041,0.9309593503,0.9344983116,-0.4584443372,-0.4654242514,-0.4512193329,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T1,l2,2000,19,0.016,195.984,0.8771929825,0.7192982456,1,0.901463743,0.8994510454,0.9034161197,-0.0137273317,-0.1677270075,0.1039677635,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T1,centred_l2,2000,19,0.016,195.984,0.8947368421,0.7543859649,1,0.9007622381,0.8987672682,0.9027190997,0.002739702769,-0.1293401036,0.1017418317,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T2,l2,2000,2000,17.8865,164.1135,0.550734949,0.5412737311,0.5601991909,0.9418605834,0.9396378507,0.9440125807,-0.3911256344,-0.3995690315,-0.3825656022,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T2,centred_l2,2000,2000,17.8865,164.1135,0.5539119357,0.5444209298,0.5632708091,0.942347389,0.9401629488,0.9444608993,-0.3884354532,-0.3969222227,-0.379838179,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T2,l2,2000,2000,16.316,165.684,0.5338471618,0.5242448711,0.5434520461,0.9379925332,0.9357586977,0.9401785447,-0.4041453714,-0.4128527662,-0.3952466819,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T2,centred_l2,2000,2000,16.316,165.684,0.5212870514,0.5117429798,0.530791556,0.9378073365,0.9355736648,0.9400166406,-0.4165202851,-0.4252623611,-0.4077814227,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T2,l2,2000,6,0.0085,181.9915,0.9761904762,0.9285714286,1,0.9065244174,0.9036180995,0.9093387572,0.04131140284,-0.00548680816,0.07182486699,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T2,centred_l2,2000,6,0.0085,181.9915,0.9761904762,0.9285714286,1,0.9063020302,0.9034011896,0.9091359453,0.03851740126,-0.008343951017,0.06820646613,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T3,l2,2000,1999,15.443,152.557,0.4749942953,0.4656878177,0.4845390829,0.9270003191,0.924343193,0.9295706084,-0.4520201262,-0.4604410521,-0.4434515409,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s11_out,T3,centred_l2,2000,1999,15.443,152.557,0.4781574093,0.4688078433,0.4877463575,0.9276943163,0.9250475794,0.9302540771,-0.449548379,-0.4580398381,-0.4409337453,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T3,l2,2000,2000,14.006,153.994,0.4588744425,0.4492613597,0.4686010128,0.9214822174,0.9187959285,0.924088571,-0.4626077749,-0.4714191039,-0.4536733813,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,hist,T3,centred_l2,2000,2000,14.006,153.994,0.4447220008,0.435391269,0.4544015194,0.9217148406,0.9190397616,0.924314542,-0.4769928398,-0.4856408982,-0.4679898579,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T3,l2,2000,6,0.0035,167.9965,1,1,1,0.8888523643,0.8857122061,0.8919126046,0.08988649208,0.073984561,0.1107784431,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,native,s12_post_norm,T3,centred_l2,2000,6,0.0035,167.9965,1,1,1,0.8891707811,0.8860609615,0.8922482762,0.09188250006,0.07504869779,0.1147704591,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s11_out,T0,l2,2000,2000,18.0745,177.9255,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s11_out,T0,centred_l2,2000,2000,18.0745,177.9255,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,hist,T0,l2,2000,2000,18.647,177.353,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,hist,T0,centred_l2,2000,2000,18.647,177.353,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s12_post_norm,T0,l2,2000,4,0.005,195.995,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s12_post_norm,T0,centred_l2,2000,4,0.005,195.995,1,1,1,1,1,1,0,0,0,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s11_out,T1,l2,2000,2000,18.0745,177.9255,0.5088957995,0.5014313213,0.5164115719,0.9452566411,0.9434884826,0.9469319632,-0.4363608416,-0.4434557997,-0.4290634842,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,s11_out,T1,centred_l2,2000,2000,18.0745,177.9255,0.5102256845,0.5028701566,0.5176603553,0.9454467568,0.9437018808,0.9470843936,-0.4352210723,-0.4422950042,-0.4279853371,0.005102040816,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,native,hist,T1,l2,2000,2000,18.647,177.353,0.5082853846,0.5010979884,0.5154074612,0.946081946,0.9443570519,0.9477166623,-0.4377965615,-0.4446623561,-0.4309169507,0.005102040816,secondary
