scope,run_id,arch,recipe_actual,variant,stage,transform,descriptor,diagnostic,n,spearman_rho,mean_acc_exact,mean_diagnostic,endpoint_class
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T2,l2,count_mad_stage,2000,MISSING,0.9080467033,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T2,centred_l2,count_mad_s11,2000,-0.3190823741,0.9076950549,14.829,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T2,centred_l2,count_mad_stage,2000,MISSING,0.9076950549,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T3,l2,count_mad_s11,2000,-0.3404992768,0.894547619,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T3,l2,count_mad_stage,2000,-0.3404992768,0.894547619,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T3,centred_l2,count_mad_s11,2000,-0.3407294349,0.8952380952,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s11_out,T3,centred_l2,count_mad_stage,2000,-0.3407294349,0.8952380952,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T3,l2,count_mad_s11,2000,-0.3341921294,0.8914732143,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T3,l2,count_mad_stage,2000,-0.3662537526,0.8914732143,14.2995,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T3,centred_l2,count_mad_s11,2000,-0.3386559044,0.8908511905,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,hist,T3,centred_l2,count_mad_stage,2000,-0.3716298852,0.8908511905,14.2995,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T3,l2,count_mad_s11,2000,-0.3396897917,0.897514881,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T3,l2,count_mad_stage,2000,MISSING,0.897514881,0,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_s11,2000,-0.349493188,0.8975952381,14.8585,secondary
within_checkpoint,legacy_e2_vit_small_mixupdir_baseline,vit_small,mixup,baseline,s12_post_norm,T3,centred_l2,count_mad_stage,2000,MISSING,0.8975952381,0,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s11_out,T0,l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s11_out,T0,l2,count_mad_stage,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s11_out,T0,centred_l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s11_out,T0,centred_l2,count_mad_stage,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,hist,T0,l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,hist,T0,l2,count_mad_stage,2000,MISSING,1,16.832,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,hist,T0,centred_l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,hist,T0,centred_l2,count_mad_stage,2000,MISSING,1,16.832,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,l2,count_mad_stage,2000,MISSING,1,0.016,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_s11,2000,MISSING,1,18.479,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s12_post_norm,T0,centred_l2,count_mad_stage,2000,MISSING,1,0.016,secondary
within_checkpoint,legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,s11_out,T1,l2,count_mad_s11,2000,-0.4057858321,0.8988163265,18.479,secondary
