run_id,arch,recipe_actual,variant,provenance_tag,condition_id,stage,transform,descriptor,n_images,n_shared,grid,chance_exact,chance_1,acc_exact_mean,acc_exact_ci_lo,acc_exact_ci_hi,acc_1_mean,acc_1_ci_lo,acc_1_ci_hi,mean_nn_sim,acc_exact_over_chance,endpoint_class
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T2,centred_l2,2000,182,14,0.005102040816,0.04261045077,0.9063021978,0.9034010989,0.9091346154,0.9419175824,0.9403213599,0.9435550137,0.9558631769,177.6352308,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8869464286,0.8837886161,0.8900834077,0.9180505952,0.9155267857,0.9205209077,0.9620698095,173.8415,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s11_out,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8879047619,0.8847648065,0.891009003,0.9191309524,0.9166219494,0.9215775298,0.9452404711,174.0293333,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8843779762,0.8811904762,0.8875178571,0.9160386905,0.9134642113,0.9185357887,0.9627828533,173.3380833,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,hist,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.8835386905,0.8803956845,0.8866518601,0.9146011905,0.9120744048,0.9170982887,0.9413912871,173.1735833,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T3,l2,2000,168,14,0.005102040816,0.0425170068,0.8888541667,0.8857141369,0.8919139137,0.9203363095,0.9178332589,0.9227678571,0.9493434511,174.2154167,secondary
legacy_e2_vit_small_nomixdir_baseline,vit_small,mixup,baseline,legacy-nomixdir,native,s12_post_norm,T3,centred_l2,2000,168,14,0.005102040816,0.0425170068,0.889172619,0.8860625,0.89225,0.9201130952,0.9176011161,0.9225565476,0.9312371991,174.2778333,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,s1,native,s11_out,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999986,196,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,s1,native,s11_out,T0,centred_l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.999999997,196,secondary
e2r_vits_mixup_baseline_s1,vit_small,mixup,baseline,s1,native,hist,T0,l2,2000,196,14,0.005102040816,0.04164931279,1,1,1,1,1,1,0.9999999979,196,secondary
