run_id,arch,recipe_actual,variant,stage,transform,descriptor,n_images_paired,acc_native,acc_term_1.00,delta,ci_lo,ci_hi,max_abs_s11_diff_vs_native,chance_exact,endpoint_class
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T2,centred_l2,2000,0.9059120879,0.9033461538,-0.002565934066,-0.002799450549,-0.00232967033,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T2,l2,2000,0.9061098901,0.904043956,-0.002065934066,-0.002296703297,-0.001837912088,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T3,centred_l2,2000,0.887452381,0.8841964286,-0.003255952381,-0.003517857143,-0.002994047619,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,hist,T3,l2,2000,0.8873690476,0.884360119,-0.003008928571,-0.003288690476,-0.002729166667,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T1,centred_l2,2000,0.8717678571,0.8717678571,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T1,l2,2000,0.8712219388,0.8712219388,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T2,centred_l2,2000,0.9091263736,0.9091263736,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T2,l2,2000,0.9083516484,0.9083516484,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T3,centred_l2,2000,0.8915267857,0.8915267857,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s11_out,T3,l2,2000,0.8901875,0.8901875,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T0,centred_l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T0,l2,2000,1,1,0,0,0,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T1,centred_l2,2000,0.8759209184,0.8724234694,-0.00349744898,-0.003778061224,-0.003211734694,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T1,l2,2000,0.8775153061,0.8738647959,-0.003650510204,-0.003951530612,-0.003354528061,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T2,centred_l2,2000,0.9128049451,0.9105989011,-0.002206043956,-0.00242032967,-0.001994505495,0,0.005102040816,secondary
legacy_e2_vit_small_nomixdir_saga,vit_small,mixup,saga,s12_post_norm,T2,l2,2000,0.9145082418,0.9124752747,-0.002032967033,-0.002239010989,-0.001824175824,0,0.005102040816,secondary
