arch,recipe,variant,block,cls_norm_ratio,cls_attn_share,ckpt_sha256
vit_small,nomix,baseline,1,1.0273100217819213,0.11071102652549744,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,2,1.1310132524490357,0.029663308402895928,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,3,1.132393794631958,0.078603289103508,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,4,1.0484695514678954,0.11214985874891281,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,5,0.8336108932495118,0.04820762565135956,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,6,0.6488758909225464,0.08419730812311173,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,7,0.5997410462379456,0.020878530663251876,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,8,0.6011552963256835,0.0245057375818491,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,9,0.5401621156692505,0.019532787075638772,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,10,0.710544034576416,0.040539611774683,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,baseline,11,0.6297953771591187,0.26708920044898987,8d980da27a4b571a117e82451c8c9deff126e437206faee5120e069d3667e10d
vit_small,nomix,registers,0,0.9710615734100342,0.021788275995850565,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,1,1.1295408203125,0.021324888962507248,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,2,1.147144213294983,0.01785815743803978,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,3,1.165796598625183,0.009293552424013614,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,4,1.0158939086914063,0.013856942436099053,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,5,0.9088056305885315,0.03230731189846992,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,6,0.6542156066894531,0.01044168080985546,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,7,0.6025330985069275,0.012096100133657455,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,8,0.5535515472412109,0.012669760324060917,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
vit_small,nomix,registers,9,0.5354320277214051,0.01062399231940508,7ca33ed755106aa7f0d0b02ebf6ceb003808fc5dc3f78699538de1fba820e536
